"gap","timeEff","durEff","diamonds","totalBlocks","complete","completeEff"
2,38.476577774302,0.521620833738218,82,10736,0.82,0.38476577774302
3,44.3900225204011,0.453297919433378,72,8192,0.72,0.443900225204011
4,35.4381090925,0.566002656042497,45,6393,0.45,0.354381090925
5,45.0035158996797,0.446215139442231,48,5376,0.48,0.450035158996797
6,58.6230813304786,0.341006344990409,54,4622,0.54,0.586230813304786
7,28.5753727222529,0.706911484496795,23,4081,0.23,0.285753727222529
8,32.5286295154098,0.618915641780703,23,3573,0.23,0.325286295154099
9,22.9341099381143,0.87080250426864,14,3060,0.14,0.229341099381143
10,40.8949473996148,0.486921877706565,23,2811,0.23,0.408949473996148
11,66.3109136712084,0.301148347785329,34,2570,0.34,0.663109136712084
12,72.1903199343724,0.279125920560184,33,2312,0.33,0.721903199343724
13,48.1576067128785,0.417240130387541,22,2304,0.22,0.481576067128785
14,34.080535551273,0.581673306772908,14,2044,0.14,0.34080535551273
15,51.9230769230769,0.388351356478847,21,2047,0.21,0.519230769230769
16,11.3256518148571,1.77390438247012,4,1781,0.04,0.113256518148571
17,14.3380595826032,1.4191235059761,5,1781,0.05,0.143380595826032
18,84.8864100122432,0.23735825927061,26,1549,0.26,0.848864100122432
19,39.0279158008854,0.50996015936255,12,1536,0.12,0.390279158008853
20,32.9338578355137,0.610358565737052,10,1532,0.1,0.329338578355137
0,17.8300431146698,1.10954472707461,117,32584,1,0.152393530894614
1,25.5327771961228,0.774568393094289,84,16331,0.717948717948718,0.218228864924126
2,38.3005723295028,0.515864253828061,83,10747,0.709401709401709,0.32735531905558
3,47.7329372372297,0.413384436935801,79,8197,0.675213675213675,0.407973822540425
4,33.4222145455723,0.591865097748541,43,6388,0.367521367521368,0.28565995338096
5,50.5469537801718,0.390293371966679,55,5388,0.47008547008547,0.432025245984374
6,22.7447086962408,0.871371656232214,21,4593,0.179487179487179,0.19439921962599
7,59.2065516546956,0.333604358077893,49,4103,0.418803418803419,0.506038903031586
8,69.9868488764366,0.281774861338958,51,3607,0.435897435897436,0.598178195525099
9,22.7549776513612,0.870233352305065,14,3058,0.11965811965812,0.194486988473173
10,17.5815588982223,1.11713147410359,10,2804,0.0854700854700855,0.15026973417284
11,84.3001596593933,0.233882651213328,44,2583,0.376068376068376,0.72051418512302
12,10.8361928842333,1.82549800796813,5,2291,0.0427350427350427,0.0926170331985756
13,12.960129601296,1.52191235059761,6,2292,0.0512820512820513,0.110770338472615
14,50.9519797809604,0.389489660405995,21,2053,0.179487179487179,0.435487006674875
15,58.2720712214204,0.339973439575033,24,2048,0.205128205128205,0.498051890781371
16,19.4474455934558,1.01479795105293,7,1783,0.0598290598290598,0.16621748370475
17,95.2165041940603,0.206374501992032,35,1813,0.299145299145299,0.813816275162909
18,38.5215569129252,0.509628154050465,12,1535,0.102564102564103,0.329244076178848
19,22.5553815171179,0.869095048377917,7,1527,0.0598290598290598,0.192781038607846
20,22.8136882129278,0.871371656232214,7,1531,0.0598290598290598,0.194988788144682
0,21.9386487158154,0.920431748184567,141,32575,1,0.155593253303655
1,38.6862161012031,0.521593625498008,125,16365,0.886524822695035,0.274370326958888
2,55.8041384161473,0.360574508687937,119,10770,0.843971631205674,0.395774031320193
3,69.9595141700405,0.287621444048368,114,8230,0.808510638297872,0.496166767163408
4,71.3562257000033,0.281467536447616,91,6429,0.645390070921986,0.506072522695059
5,79.820558434527,0.250579079032706,86,5409,0.609929078014184,0.566103251308702
6,67.362829721736,0.297648117208585,62,4632,0.439716312056738,0.477750565402383
7,72.3581113306534,0.278006617597407,59,4117,0.418439716312057,0.513178094543641
8,81.0905277874869,0.247836241241929,58,3608,0.411347517730496,0.575110126152389
9,57.458160426832,0.350369948776323,35,3078,0.24822695035461,0.407504683878241
10,126.797259480845,0.155869671996944,73,2856,0.517730496453901,0.899271343835782
11,53.3992583436341,0.377895824110964,27,2561,0.191489361702128,0.378718144281093
